@relation 	/home/yyang/Data/horse-colic
@attribute	surgury	{1,2}
@attribute	age	real
@attribute	rectal-temp	real
@attribute	pulse	real
@attribute	resp-rate	real
@attribute	extremity-temp	{1,2,3,4}
@attribute	peripheral-pulse	{1,2,3,4}
@attribute	mucous-memb	{1,2,3,4,5,6}
@attribute	capillary-refill-time	{1,2,3}
@attribute	pain	{1,2,3,4,5}
@attribute	peristalsis	{1,2,3,4}
@attribute	abdominal-distension	{1,2,3,4}
@attribute	nasogastric-tube	{1,2,3}
@attribute	nasogastric-reflux	{1,2,3}
@attribute	nasogastric-reflux-PH	real
@attribute	feces	{1,2,3,4}
@attribute	abdomen	{1,2,3,4,5}
@attribute	packed-cell-volume	real
@attribute	total-protein	real
@attribute	abdominocentesis-appearance	{1,2,3}
@attribute	abdomcentesis-total-protein	real
@attribute	class { 1, 2 }

@data
2,1,528590,56,68,3,1,1,1,3,3,1,2,1,?,1,?,40.00,6.00,?,?,1

2,1,529865,68,20,2,1,3,1,3,3,2,1,1,?,1,5,38.00,6.50,1,?,2

2,1,527829,54,18,3,1,2,1,2,3,2,?,3,5.40,?,4,44.00,7.20,3,?,2

1,1,534403,42,20,?,?,1,1,?,3,?,?,?,?,3,?,47,60,?,?,2

1,1,527883,64,90,2,3,1,1,?,3,1,1,2,6.50,1,5,39.00,6.70,?,?,1

1,1,528570,60,50,3,3,1,1,3,3,2,2,2,3.50,3,4,35.00,6.50,?,?,1

1,1,534626,80,?,3,3,6,1,5,4,1,2,3,?,3,1,50,55,3,2,1

1,1,529796,100,30,3,3,4,2,5,4,4,3,3,?,4,4,52.00,6.60,?,?,1

1,1,528638,120,28,3,3,3,1,5,3,3,1,1,?,?,?,65.00,7.00,3,?,1

1,1,534624,76,?,?,3,?,?,?,4,4,?,?,?,?,5,?,?,?,?,1

1,9,5297159,150,50,1,3,6,2,5,3,2,1,1,?,?,?,50.00,6.20,?,?,1

1,1,534787,36,16,3,1,1,1,4,2,2,3,3,2,3,?,37,75,2,1,2

2,1,528620,50,40,2,3,3,1,1,3,2,3,1,7.00,?,?,37.50,6.50,?,?,2

2,1,528019,40,16,1,1,1,1,1,1,1,?,?,?,1,1,37.00,6.80,?,?,2

2,1,529172,56,40,4,3,1,1,2,4,3,2,2,7.50,?,?,47.00,7.20,1,2.50,2

1,1,534644,48,12,?,?,1,?,1,1,?,?,?,?,?,?,36,67,?,?,2

2,1,530624,78,?,3,3,5,1,2,3,1,1,1,?,4,1,66.00,6.50,?,?,1

1,1,527544,70,16,3,4,5,2,2,3,2,2,1,?,4,5,60.00,7.50,?,?,1

1,1,527758,72,18,?,?,?,?,?,?,?,?,?,?,?,?,35.00,6.40,?,?,1

2,1,530439,54,?,1,1,1,1,3,1,1,2,1,?,1,?,40.00,6.80,2,7.00,2

1,1,5283431,66,24,1,1,1,1,3,3,1,2,1,?,4,5,40.00,6.70,1,?,1

2,1,5275212,82,12,3,1,1,2,4,?,3,1,3,?,?,?,50.00,7.00,?,?,1

2,9,5305129,84,30,?,?,?,1,?,?,?,?,?,?,?,?,28.00,5.00,?,?,2

1,1,529428,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1

1,1,529126,50,36,?,1,1,1,3,2,2,?,?,?,3,?,39.00,6.60,1,5.30,1

2,1,535054,45,16,2,1,2,1,1,1,?,?,?,?,1,1,43,58,?,?,2

1,1,528890,80,44,3,3,3,1,2,3,3,2,2,7.00,3,1,54.00,6.50,3,?,1

1,1,530034,66,20,1,3,2,1,4,3,3,1,?,?,1,5,35.00,6.90,2,?,1

1,1,534004,78,24,3,3,3,1,?,3,?,2,1,?,?,4,43,62,?,2,2

2,1,533902,40,16,1,1,1,1,2,1,1,?,?,?,3,2,37,67,?,?,2

1,1,533886,120,70,4,?,4,2,2,4,?,?,?,?,?,5,55,65,?,?,2

2,1,527702,72,24,3,2,4,2,4,3,3,3,1,?,4,4,44.00,?,3,3.30,1

1,1,529386,72,30,4,3,4,1,4,4,3,2,1,?,3,5,60.00,6.80,?,?,1

1,1,530612,100,24,3,3,3,1,3,3,3,3,1,?,4,4,50.00,6.00,3,3.40,1

1,1,534618,40,20,?,?,?,?,?,?,?,?,?,?,4,1,36,62,1,1,2

2,1,528626,54,20,?,1,2,2,3,4,1,2,2,5.90,?,2,42.00,6.30,?,?,2

2,1,527950,48,36,?,?,1,1,?,3,?,?,?,?,?,?,44.00,6.30,1,5.00,2

1,1,535263,44,28,?,4,3,2,5,4,4,1,1,?,3,5,45,70,3,2,1

1,1,534523,56,24,3,1,4,2,4,4,3,1,1,?,?,?,35,61,3,2,2

2,1,528926,42,12,3,?,3,1,1,?,1,?,?,?,?,2,37.00,5.80,?,?,2

1,1,534922,60,40,3,?,1,1,?,4,?,3,2,?,?,5,42,72,?,?,1

2,1,527642,80,60,3,2,2,1,3,2,1,2,2,?,1,1,54.00,6.90,?,?,2

2,1,5279821,48,12,2,1,2,1,3,?,1,2,?,?,2,?,48.00,7.30,1,?,2

?,1,534790,65,40,?,1,4,2,2,?,?,?,?,?,?,5,?,?,?,?,1

2,1,5275211,45,36,3,3,3,2,2,3,1,2,1,?,3,?,33.00,5.70,3,?,1

2,1,5278332,84,12,3,1,5,1,2,4,2,1,2,7.00,?,4,62.00,5.90,2,2.20,1

2,1,528959,60,24,3,1,3,2,3,3,2,3,3,?,4,4,53.00,7.50,2,1.40,2

1,1,534921,140,?,?,?,4,2,5,4,4,1,1,?,?,5,30,69,?,?,2

1,1,528999,120,60,3,3,3,1,5,4,4,2,2,7.50,4,5,52.00,6.60,3,1.80,1

2,1,528067,72,36,1,1,3,1,3,?,2,2,1,?,3,5,38.00,6.80,2,2.00,2

2,9,5291329,92,28,1,1,2,1,1,3,2,3,?,7.20,?,?,37.00,6.10,1,1.10,2

1,1,529478,66,30,2,3,1,1,2,4,3,3,2,8.50,4,5,37.00,6.00,?,?,1

2,1,529991,48,24,3,1,1,1,2,1,?,1,1,?,3,2,43.00,6.00,1,2.80,2

1,1,530033,88,20,2,3,3,1,4,3,3,?,?,?,?,?,35.00,6.40,1,?,1

2,9,5299049,150,60,4,4,4,2,5,4,4,?,?,?,?,?,?,?,?,?,1

1,1,534497,100,30,?,?,6,2,4,4,3,1,?,?,4,5,65,75,?,?,1

1,1,528369,80,?,3,3,4,2,5,4,3,2,1,?,4,4,45.00,7.50,2,4.60,1

2,1,530107,40,32,3,1,3,1,3,2,3,2,1,?,?,5,32.00,6.40,1,1.10,1

1,1,530239,84,30,3,1,5,2,4,3,3,2,3,6.50,4,4,47.00,7.50,3,?,1

1,1,530505,84,44,4,?,4,2,5,3,1,1,3,5.00,?,4,60.00,6.80,?,5.70,1

2,1,529567,52,?,1,1,1,1,1,3,1,?,?,?,1,3,4.00,74.00,?,?,2

2,1,529597,44,40,2,1,3,1,3,3,1,?,?,?,1,3,35.00,6.80,?,?,2

2,1,534429,52,20,2,1,3,1,1,3,2,2,1,?,3,5,41,63,1,1,2

1,1,529629,60,?,1,?,3,1,2,1,1,1,1,?,4,4,43.00,6.20,2,3.90,1

2,1,528382,40,18,1,1,1,?,3,2,1,1,1,?,3,3,36.00,3.50,?,?,2

1,1,534898,60,10,?,1,1,?,2,3,?,?,?,?,4,4,?,?,?,?,1

2,1,529615,48,16,1,1,1,1,?,1,1,2,1,?,4,3,43.00,7.50,?,?,2

1,1,526090,120,?,4,3,5,2,2,4,3,2,3,8.00,?,?,65.00,8.20,3,4.60,2

1,1,529765,76,?,2,3,2,1,5,3,3,1,2,6.00,1,5,35.00,6.50,2,0.90,1

2,1,528310,88,?,?,?,6,?,?,?,?,?,?,?,?,?,?,?,?,?,2

1,1,529925,80,30,3,3,3,1,?,?,?,?,?,6.00,?,?,48.00,8.30,?,4.30,1

1,1,527807,?,?,3,1,1,1,2,3,3,1,3,6.00,4,4,?,?,2,?,1

1,1,5281441,40,?,1,1,1,1,1,1,1,?,?,?,1,1,?,?,2,2.10,1

2,1,530695,44,?,1,1,1,1,3,3,2,?,?,?,?,?,45.00,5.80,2,1.40,2

2,1,533889,42,16,1,1,3,1,1,3,1,?,?,?,1,?,35,60,1,1,2

2,1,533815,56,44,3,3,3,?,?,1,1,2,1,?,4,?,47,70,2,1,2

2,1,527664,45,20,3,3,2,2,2,4,1,2,?,?,4,?,?,?,?,?,2

1,1,5262542,48,96,1,1,3,1,?,4,1,2,1,?,1,4,42.00,8.00,1,?,1

1,1,528268,55,28,2,1,2,1,2,3,3,?,3,5.00,4,5,?,?,?,?,1

2,1,528919,100,20,4,3,6,2,2,4,3,1,1,?,4,5,74.00,5.70,2,2.50,1

1,1,527494,60,20,2,?,4,1,3,?,3,?,2,5.00,3,4,64.00,8.50,2,?,1

2,1,529980,114,40,3,?,3,2,2,2,1,?,?,?,?,3,32.00,?,3,6.50,2

1,1,533954,72,30,3,3,3,1,4,4,3,2,1,?,3,5,37,56,3,1,1

1,1,5281092,44,12,3,1,1,2,1,1,1,?,?,?,4,2,40.00,6.70,3,8.00,1

1,1,534686,48,20,3,1,1,1,4,3,1,?,?,?,3,?,37,75,?,?,1

1,1,534475,82,72,3,1,4,1,2,3,3,?,3,?,4,4,53,65,3,2,1

1,9,5274919,78,60,4,4,6,?,3,3,3,?,?,?,1,?,59.00,5.80,3,3.10,1

2,1,533815,60,16,1,1,3,1,2,3,2,1,2,?,3,?,41,73,?,?,2

1,1,534156,34,30,2,?,3,1,2,3,?,?,?,?,?,?,33,69,?,2,1

1,1,514279,36,12,1,1,1,1,1,2,1,1,1,?,1,5,44.00,?,?,?,1

2,1,528433,44,60,?,?,1,1,?,?,?,?,?,?,?,?,6.40,36.00,?,?,1

2,1,527465,54,18,3,?,1,1,3,4,3,2,2,?,4,5,30.00,7.10,2,?,1

1,1,534268,?,?,4,3,?,2,2,4,1,?,?,?,?,?,54,76,3,2,1

1,1,535337,48,16,3,1,3,1,4,1,1,1,1,?,?,?,27,56,?,?,1

1,1,534111,90,?,1,1,3,1,3,3,3,2,3,2,4,5,47,79,?,?,1

1,1,530576,75,12,1,1,4,1,5,3,3,?,3,5.80,?,?,58.00,8.50,1,?,1

2,1,529930,42,?,3,1,1,1,1,1,2,2,1,?,3,2,35.00,5.90,2,?,2

1,9,5274919,78,60,4,4,6,?,3,3,3,?,?,?,1,?,59.00,5.80,3,3.10,1

2,1,529695,60,30,1,1,3,1,4,2,2,1,1,?,?,?,40.00,6.00,1,?,1

2,1,528452,42,40,1,1,1,1,1,3,1,?,?,?,3,3,36.00,6.20,?,?,2

1,1,534783,60,12,1,1,2,1,2,1,1,1,1,?,1,4,44,65,3,2,1

2,1,528926,42,12,3,?,3,1,1,1,1,?,?,?,?,1,37.00,5.80,?,?,2

2,1,530670,88,36,3,1,1,1,3,3,2,1,3,1.50,?,?,44.00,6.00,?,?,1

